task,level,n_demos,sr_published,sr_batch0,n_batch0,note
T1,L0,10,0.85,0.8,20,
T1,L0,25,0.97,1.0,20,
T1,L0,50,1.0,1.0,20,
T1,L0,100,1.0,1.0,20,
T1,L0,200,1.0,1.0,20,
T1,L0,400,0.99,0.95,20,
T1,L1,10,0.42,0.15,20,
T1,L1,25,0.67,0.4,20,
T1,L1,50,0.83,0.6,20,
T1,L1,100,0.86,0.5,20,
T1,L1,200,0.98,0.95,20,
T1,L1,400,0.99,0.95,20,
T1,L2,10,0.31,0.2,20,
T1,L2,25,0.6,0.4,20,
T1,L2,50,0.75,0.45,20,
T1,L2,100,0.82,0.55,20,
T1,L2,200,0.98,0.9,20,
T1,L2,400,1.0,1.0,20,
T1,L3,10,0.03,0.03,200,clean (1 batch/variant)
T1,L3,25,0.15,0.15,200,clean (1 batch/variant)
T1,L3,50,0.48,0.48,200,clean (1 batch/variant)
T1,L3,100,0.47,0.47,200,clean (1 batch/variant)
T1,L3,200,0.53,0.53,200,clean (1 batch/variant)
T1,L3,400,0.445,0.445,200,clean (1 batch/variant)
T1,L3b,10,0.09,0.09,200,clean (1 batch/variant)
T1,L3b,25,0.235,0.235,200,clean (1 batch/variant)
T1,L3b,50,0.465,0.465,200,clean (1 batch/variant)
T1,L3b,100,0.7,0.7,200,clean (1 batch/variant)
T1,L3b,200,0.935,0.935,200,clean (1 batch/variant)
T1,L3b,400,0.945,0.945,200,clean (1 batch/variant)
T2,L0,10,0.65,0.3,20,
T2,L0,25,0.93,0.75,20,
T2,L0,50,0.94,0.75,20,
T2,L0,100,0.9,0.55,20,
T2,L0,200,0.94,0.8,20,
T2,L0,400,0.96,0.8,20,
T2,L1,10,0.12,0.05,20,
T2,L1,25,0.22,0.15,20,
T2,L1,50,0.19,0.1,20,
T2,L1,100,0.3,0.15,20,
T2,L1,200,0.25,0.25,20,
T2,L1,400,0.23,0.0,20,
T2,L2,10,0.17,0.15,20,
T2,L2,25,0.11,0.05,20,
T2,L2,50,0.35,0.25,20,
T2,L2,100,0.32,0.25,20,
T2,L2,200,0.29,0.25,20,
T2,L2,400,0.41,0.25,20,
T2,L3b,10,0.045,0.045,200,clean (1 batch/variant)
T2,L3b,25,0.09,0.09,200,clean (1 batch/variant)
T2,L3b,50,0.065,0.065,200,clean (1 batch/variant)
T2,L3b,100,0.11,0.11,200,clean (1 batch/variant)
T2,L3b,200,0.17,0.17,200,clean (1 batch/variant)
T2,L3b,400,0.14,0.14,200,clean (1 batch/variant)
T3,L0,10,0.99,0.95,20,
T3,L0,25,0.99,0.95,20,
T3,L0,50,1.0,1.0,20,
T3,L0,100,1.0,1.0,20,
T3,L0,200,1.0,1.0,20,
T3,L0,400,1.0,1.0,20,
T3,L1,10,0.58,0.5,20,
T3,L1,25,0.81,0.65,20,
T3,L1,50,0.95,0.9,20,
T3,L1,100,0.97,0.85,20,
T3,L1,200,0.98,0.9,20,
T3,L1,400,0.96,0.85,20,
T3,L2,10,0.41,0.2,20,
T3,L2,25,0.63,0.25,20,
T3,L2,50,0.88,0.65,20,
T3,L2,100,0.94,0.75,20,
T3,L2,200,0.98,0.9,20,
T3,L2,400,0.95,0.85,20,
T3,L3b,10,0.305,0.305,200,clean (1 batch/variant)
T3,L3b,25,0.51,0.51,200,clean (1 batch/variant)
T3,L3b,50,0.605,0.605,200,clean (1 batch/variant)
T3,L3b,100,0.78,0.78,200,clean (1 batch/variant)
T3,L3b,200,0.92,0.92,200,clean (1 batch/variant)
T3,L3b,400,0.84,0.84,200,clean (1 batch/variant)
