task,level,n_demos,sr,successes,episodes,ci_lo,ci_hi
T1,L0,10,0.89,89,100,0.8137,0.9375
T1,L0,25,0.98,98,100,0.93,0.9945
T1,L0,50,1.0,100,100,0.963,1.0
T1,L0,100,1.0,100,100,0.963,1.0
T1,L0,200,1.0,100,100,0.963,1.0
T1,L0,400,0.99,99,100,0.9455,0.9982
T1,L1,10,0.46,46,100,0.3656,0.5574
T1,L1,25,0.68,68,100,0.5834,0.7633
T1,L1,50,0.84,84,100,0.7558,0.899
T1,L1,100,0.86,86,100,0.7786,0.9147
T1,L1,200,0.98,98,100,0.93,0.9945
T1,L1,400,0.99,99,100,0.9455,0.9982
T1,L2,10,0.29,29,100,0.2101,0.3854
T1,L2,25,0.6,60,100,0.502,0.6906
T1,L2,50,0.74,74,100,0.6463,0.816
T1,L2,100,0.82,82,100,0.7333,0.883
T1,L2,200,0.98,98,100,0.93,0.9945
T1,L2,400,1.0,100,100,0.963,1.0
T1,L3,10,0.09,18,200,0.0577,0.1378
T1,L3,25,0.235,47,200,0.1816,0.2984
T1,L3,50,0.465,93,200,0.3972,0.5341
T1,L3,100,0.7,140,200,0.6332,0.7593
T1,L3,200,0.935,187,200,0.892,0.9616
T1,L3,400,0.945,189,200,0.9042,0.969
T2,L0,10,0.71,71,100,0.6146,0.7899
T2,L0,25,0.94,94,100,0.8752,0.9722
T2,L0,50,0.91,91,100,0.8377,0.9519
T2,L0,100,0.9,90,100,0.8256,0.9448
T2,L0,200,0.97,97,100,0.9155,0.9897
T2,L0,400,0.95,95,100,0.8882,0.9785
T2,L1,10,0.11,11,100,0.0625,0.1863
T2,L1,25,0.23,23,100,0.1584,0.3215
T2,L1,50,0.32,32,100,0.2367,0.4166
T2,L1,100,0.31,31,100,0.2278,0.4063
T2,L1,200,0.18,18,100,0.117,0.2667
T2,L1,400,0.15,15,100,0.0931,0.2328
T2,L2,10,0.13,13,100,0.0776,0.2098
T2,L2,25,0.16,16,100,0.101,0.2442
T2,L2,50,0.37,37,100,0.2818,0.4678
T2,L2,100,0.43,43,100,0.3373,0.5278
T2,L2,200,0.27,27,100,0.1927,0.3643
T2,L2,400,0.37,37,100,0.2818,0.4678
T2,L3,10,0.04,8,200,0.0204,0.0769
T2,L3,25,0.095,19,200,0.0617,0.1436
T2,L3,50,0.07,14,200,0.0422,0.1141
T2,L3,100,0.115,23,200,0.0779,0.1666
T2,L3,200,0.145,29,200,0.1029,0.2005
T2,L3,400,0.125,25,200,0.0861,0.178
T3,L0,10,1.0,100,100,0.963,1.0
T3,L0,25,0.99,99,100,0.9455,0.9982
T3,L0,50,1.0,100,100,0.963,1.0
T3,L0,100,0.99,99,100,0.9455,0.9982
T3,L0,200,1.0,100,100,0.963,1.0
T3,L0,400,1.0,100,100,0.963,1.0
T3,L1,10,0.56,56,100,0.4623,0.6533
T3,L1,25,0.83,83,100,0.7445,0.8911
T3,L1,50,0.95,95,100,0.8882,0.9785
T3,L1,100,0.96,96,100,0.9016,0.9843
T3,L1,200,0.98,98,100,0.93,0.9945
T3,L1,400,0.99,99,100,0.9455,0.9982
T3,L2,10,0.38,38,100,0.291,0.4779
T3,L2,25,0.7,70,100,0.6041,0.7811
T3,L2,50,0.89,89,100,0.8137,0.9375
T3,L2,100,0.93,93,100,0.8625,0.9657
T3,L2,200,0.96,96,100,0.9016,0.9843
T3,L2,400,0.95,95,100,0.8882,0.9785
T3,L3,10,0.305,61,200,0.2454,0.372
T3,L3,25,0.51,102,200,0.4412,0.5784
T3,L3,50,0.605,121,200,0.5359,0.6702
T3,L3,100,0.78,156,200,0.7176,0.8318
T3,L3,200,0.92,184,200,0.874,0.9502
T3,L3,400,0.84,168,200,0.7829,0.8843
