task,task_name,level,sr_n10,sr_n100,sr_n400,nstar_50,nstar_80,nstar_90,ratio_50,ratio_80,ratio_90
T1,cup_place,L0,0.85,1.0,0.99,<=10,<=10,16,n/a,n/a,1.00x
T1,cup_place,L1,0.42,0.86,0.99,15,45,133,>=1.50x,>=4.50x,8.31x
T1,cup_place,L2,0.31,0.82,1.0,20,86,150,>=2.00x,>=8.60x,9.38x
T1,cup_place,L3b,0.09,0.7,0.945,57,143,185,>=5.70x,>=14.30x,11.56x
T2,drawer_stow,L0,0.65,0.9,0.96,<=10,18,23,n/a,1.00x,1.00x
T2,drawer_stow,L1,0.12,0.3,0.23,>400,>400,>400,>=40.00x,>=22.22x,>=17.39x
T2,drawer_stow,L2,0.17,0.32,0.41,>400,>400,>400,>=40.00x,>=22.22x,>=17.39x
T2,drawer_stow,L3b,0.045,0.11,0.14,>400,>400,>400,>=40.00x,>=22.22x,>=17.39x
T3,push_target,L0,0.99,1.0,1.0,<=10,<=10,<=10,n/a,n/a,n/a
T3,push_target,L1,0.58,0.97,0.96,<=10,24,41,n/a,>=2.40x,>=4.10x
T3,push_target,L2,0.41,0.94,0.95,16,42,67,>=1.60x,>=4.20x,>=6.70x
T3,push_target,L3b,0.305,0.78,0.84,24,114,186,>=2.40x,>=11.40x,>=18.60x
