level,n_demos,sr_best,sr_best_step,sr_last,episodes,successes,ci_lo,ci_hi,n_checkpoints
L0,10,0.85,80000,0.85,100,85,0.7671626666784216,0.906940968088377,1
L0,25,0.97,80000,0.97,100,97,0.915479219195973,0.9897456617765851,1
L0,50,1.0,80000,1.0,100,100,0.9630051925239981,0.9999999999999999,1
L0,100,1.0,80000,1.0,100,100,0.9630051925239981,0.9999999999999999,1
L0,200,1.0,80000,1.0,100,100,0.9630051925239981,0.9999999999999999,1
L0,400,0.99,80000,0.99,100,99,0.9455124752390653,0.9982326134344526,1
L1,10,0.42,80000,0.42,100,42,0.327982249185113,0.5179369200110473,1
L1,25,0.67,80000,0.67,100,67,0.5730516033971139,0.7543701620610456,1
L1,50,0.83,80000,0.83,100,83,0.7445181876635703,0.8910652394022684,1
L1,100,0.86,80000,0.86,100,86,0.7786263961619276,0.914737342455351,1
L1,200,0.98,80000,0.98,100,98,0.9299868370580063,0.9944981477650318,1
L1,400,0.99,80000,0.99,100,99,0.9455124752390653,0.9982326134344526,1
L2,10,0.31,80000,0.31,100,31,0.22779563206132378,0.40626239477955695,1
L2,25,0.6,80000,0.6,100,60,0.5020007846184025,0.6906002538863971,1
L2,50,0.75,80000,0.75,100,75,0.6569535362992417,0.8245490599627573,1
L2,100,0.82,80000,0.82,100,82,0.7333246397578691,0.8829986834574896,1
L2,200,0.98,80000,0.98,100,98,0.9299868370580063,0.9944981477650318,1
L2,400,1.0,80000,1.0,100,100,0.9630051925239981,0.9999999999999999,1
L3,10,0.03,80000,0.03,200,6,0.013820125830748327,0.06389511973247333,1
L3,25,0.15,80000,0.15,200,30,0.107135265876273,0.20605693826655166,1
L3,50,0.48,80000,0.48,200,96,0.4117904407948983,0.5489633994418346,1
L3,100,0.47,80000,0.47,200,94,0.4020463337087108,0.5390844266463886,1
L3,200,0.53,80000,0.53,200,106,0.46091557335361155,0.5979536662912893,1
L3,400,0.445,80000,0.445,200,89,0.3778048169746545,0.5142682436763609,1
L3b,10,0.09,80000,0.09,200,18,0.05768697871453362,0.13776674613848952,1
L3b,25,0.235,80000,0.235,200,47,0.18157345326946356,0.29841492986724655,1
L3b,50,0.465,80000,0.465,200,93,0.39718443070423204,0.5341347897100506,1
L3b,100,0.7,80000,0.7,200,140,0.6332080400667355,0.759253557565936,1
L3b,200,0.935,80000,0.935,200,187,0.8919799625008207,0.9616240123502404,1
L3b,400,0.945,80000,0.945,200,189,0.9042120755340645,0.9690149791986299,1
