task,level,stem,retained,rejected,attempts,gen_sr_pct,unique_poses,redundancy,max_attributable_pts,ks_d_x,ks_d_y,ks_d_yaw,ks_p_x,ks_p_y,ks_p_yaw,skewed_dims
T1,L0,L0,400,63,463,86.39,1,400.0,13.61,nan,nan,nan,nan,nan,nan,none
T1,L1,L1,400,66,466,85.84,400,1.0,14.16,0.083,0.1136,0.143,0.814,0.4354,0.181,none
T1,L2,L2,400,70,470,85.11,400,1.0,14.89,0.0779,0.1029,0.0854,0.8489,0.5317,0.76,none
T1,L3,L3b,401,62,463,86.61,401,1.0,13.39,0.1198,0.0684,0.139,0.4012,0.9568,0.2323,none
T2,L0,T2_L0,400,328,728,54.95,1,400.0,45.05,nan,nan,nan,nan,nan,nan,none
T2,L1,T2_L1,400,506,906,44.15,400,1.0,55.85,0.0618,0.06,0.1671,0.3511,0.3868,0.0,yaw
T2,L2,T2_L2,400,906,1306,30.63,400,1.0,69.37,0.0871,0.1352,0.2316,0.0278,0.0001,0.0,x|y|yaw
T2,L3,T2_L3b,400,947,1347,29.7,400,1.0,70.3,0.0508,0.1285,0.2603,0.4522,0.0002,0.0,y|yaw
T3,L0,T3_L0,400,6,406,98.52,1,400.0,1.48,nan,nan,nan,nan,nan,nan,none
T3,L1,T3_L1,400,22,422,94.79,400,1.0,5.21,0.4486,0.677,0.0,0.0003,0.0,1.0,x|y
T3,L2,T3_L2,400,21,421,95.01,400,1.0,4.99,0.236,0.2442,0.0,0.1872,0.1584,1.0,none
T3,L3,T3_L3b,400,34,434,92.17,400,1.0,7.83,0.2057,0.1466,0.0,0.1232,0.4787,1.0,none
