task,level,dim,n_eval,rejection_rate,ks_retained_rejected_D,ks_retained_rejected_p,succ_vs_fail_effect,succ_vs_fail_p,verdict
T1,L0,(none),400,0.1361,,,,,exempt (fixed pose)
T1,L1,obj_x,400,0.1416,0.083,0.79541,,,absent
T1,L1,obj_y,400,0.1416,0.1136,0.4228,,,absent
T1,L1,obj_yaw,400,0.1416,0.143,0.1769,,,absent
T1,L1,local_rej_knn,400,0.1416,,,,,absent
T1,L1,nearest_demo_dist,400,0.1416,,,,,absent
T1,L2,obj_x,400,0.1489,0.0779,0.83318,,,absent
T1,L2,obj_y,400,0.1489,0.1029,0.51839,,,absent
T1,L2,obj_yaw,400,0.1489,0.0854,0.74335,,,absent
T1,L2,goal_x,400,0.1489,,,,,absent
T1,L2,goal_y,400,0.1489,,,,,absent
T1,L2,local_rej_knn,400,0.1489,,,,,absent
T1,L2,nearest_demo_dist,400,0.1489,,,,,absent
T1,L3b,obj_x,400,0.1339,0.1198,0.38984,-0.0755,0.67596,absent
T1,L3b,obj_y,400,0.1339,0.0684,0.94603,-0.3709,0.0391,absent
T1,L3b,obj_yaw,400,0.1339,0.139,0.22634,-0.2747,0.1267,absent
T1,L3b,goal_x,400,0.1339,,,0.1332,0.4596,absent
T1,L3b,goal_y,400,0.1339,,,0.1169,0.51672,absent
T1,L3b,local_rej_knn,400,0.1339,,,0.1592,0.36705,absent
T1,L3b,nearest_demo_dist,400,0.1339,,,0.1611,0.37083,absent
T2,L0,(none),400,0.4505,,,,,exempt (fixed pose)
T2,L1,obj_x,400,0.5585,0.0618,0.34295,-0.2276,0.0997,present-but-immaterial
T2,L1,obj_y,400,0.5585,0.06,0.37794,0.1609,0.2448,present-but-immaterial
T2,L1,obj_yaw,400,0.5585,0.1671,1e-05,-0.2264,0.10139,present-but-immaterial
T2,L1,local_rej_knn,400,0.5585,,,0.0147,0.91818,present-but-immaterial
T2,L1,nearest_demo_dist,400,0.5585,,,0.0288,0.83775,present-but-immaterial
T2,L2,obj_x,400,0.6937,0.0871,0.02749,-0.1261,0.28676,present-but-immaterial
T2,L2,obj_y,400,0.6937,0.1352,7e-05,-0.0227,0.84992,present-but-immaterial
T2,L2,obj_yaw,400,0.6937,0.2316,0.0,0.0641,0.58945,present-but-immaterial
T2,L2,cab_x,400,0.6937,,,0.0236,0.84443,present-but-immaterial
T2,L2,cab_y,400,0.6937,,,0.0707,0.55137,present-but-immaterial
T2,L2,cab_dyaw,400,0.6937,,,0.1724,0.14492,present-but-immaterial
T2,L2,local_rej_knn,400,0.6937,,,-0.0587,0.61894,present-but-immaterial
T2,L2,nearest_demo_dist,400,0.6937,,,0.0525,0.65883,present-but-immaterial
T2,L3b,obj_x,400,0.703,0.0508,0.44382,0.1121,0.34269,present-but-immaterial
T2,L3b,obj_y,400,0.703,0.1285,0.00016,0.0237,0.84232,present-but-immaterial
T2,L3b,obj_yaw,400,0.703,0.2603,0.0,0.0793,0.5024,present-but-immaterial
T2,L3b,cab_x,400,0.703,,,-0.135,0.25324,present-but-immaterial
T2,L3b,cab_y,400,0.703,,,0.0793,0.5024,present-but-immaterial
T2,L3b,cab_dyaw,400,0.703,,,0.2911,0.01365,present-but-immaterial
T2,L3b,local_rej_knn,400,0.703,,,0.0912,0.43873,present-but-immaterial
T2,L3b,nearest_demo_dist,400,0.703,,,0.1665,0.15851,present-but-immaterial
T3,L0,(none),400,0.0148,,,,,exempt (fixed pose)
T3,L1,obj_x,400,0.0521,0.4486,0.00024,-0.3125,0.30811,"present-but-immaterial (suggestive link p=0.09, bounded <=5pts)"
T3,L1,obj_y,400,0.0521,0.677,0.0,-0.4479,0.1366,"present-but-immaterial (suggestive link p=0.09, bounded <=5pts)"
T3,L1,local_rej_knn,400,0.0521,,,-0.4089,0.09,"present-but-immaterial (suggestive link p=0.09, bounded <=5pts)"
T3,L1,nearest_demo_dist,400,0.0521,,,0.1562,0.61648,"present-but-immaterial (suggestive link p=0.09, bounded <=5pts)"
T3,L2,obj_x,400,0.0499,0.236,0.18474,-0.0695,0.80615,present-but-immaterial
T3,L2,obj_y,400,0.0499,0.2442,0.15568,0.2,0.46874,present-but-immaterial
T3,L2,bearing,400,0.0499,0.485,7e-05,0.0442,0.87816,present-but-immaterial
T3,L2,local_rej_knn,400,0.0499,,,0.1095,0.67099,present-but-immaterial
T3,L2,nearest_demo_dist,400,0.0499,,,-0.0653,0.81806,present-but-immaterial
T3,L3b,obj_x,400,0.0783,0.2057,0.1211,0.3058,0.00619,"present-but-immaterial (shared difficulty, not coverage: NND null)"
T3,L3b,obj_y,400,0.0783,0.1466,0.46468,-0.2013,0.07167,"present-but-immaterial (shared difficulty, not coverage: NND null)"
T3,L3b,bearing,400,0.0783,0.3954,6e-05,0.2444,0.02869,"present-but-immaterial (shared difficulty, not coverage: NND null)"
T3,L3b,local_rej_knn,400,0.0783,,,-0.2325,0.03355,"present-but-immaterial (shared difficulty, not coverage: NND null)"
T3,L3b,nearest_demo_dist,400,0.0783,,,0.0205,0.85588,"present-but-immaterial (shared difficulty, not coverage: NND null)"
