task,level,n_demos,sr_published,sr_corrected_point,sr_lower,sr_upper,n_identified,n_unknown,note
T1,L0,10,0.85,0.5405405405405406,0.2,0.83,37,63,
T1,L0,25,0.97,0.7857142857142857,0.22,0.94,28,72,
T1,L0,50,1.0,1.0,0.2,1.0,20,80,
T1,L0,100,1.0,1.0,0.2,1.0,20,80,
T1,L0,200,1.0,1.0,0.2,1.0,20,80,
T1,L0,400,0.99,0.9523809523809523,0.2,0.99,21,79,
T1,L1,10,0.42,0.23170731707317074,0.19,0.37,82,18,
T1,L1,25,0.67,0.3787878787878788,0.25,0.59,66,34,
T1,L1,50,0.83,0.5227272727272727,0.23,0.79,44,56,
T1,L1,100,0.86,0.5833333333333334,0.21,0.85,36,64,
T1,L1,200,0.98,0.8695652173913043,0.2,0.97,23,77,
T1,L1,400,0.99,0.9523809523809523,0.2,0.99,21,79,
T1,L2,10,0.31,0.14444444444444443,0.13,0.23,90,10,
T1,L2,25,0.6,0.3055555555555556,0.22,0.5,72,28,
T1,L2,50,0.75,0.43137254901960786,0.22,0.71,51,49,
T1,L2,100,0.82,0.5,0.22,0.78,44,56,
T1,L2,200,0.98,0.9090909090909091,0.2,0.98,22,78,
T1,L2,400,1.0,1.0,0.2,1.0,20,80,
T1,L3,10,0.03,0.03,0.03,0.03,200,0,clean
T1,L3,25,0.15,0.15,0.15,0.15,200,0,clean
T1,L3,50,0.48,0.48,0.48,0.48,200,0,clean
T1,L3,100,0.47,0.47,0.47,0.47,200,0,clean
T1,L3,200,0.53,0.53,0.53,0.53,200,0,clean
T1,L3,400,0.445,0.445,0.445,0.445,200,0,clean
T1,L3b,10,0.09,0.09,0.09,0.09,200,0,clean
T1,L3b,25,0.235,0.235,0.235,0.235,200,0,clean
T1,L3b,50,0.465,0.465,0.465,0.465,200,0,clean
T1,L3b,100,0.7,0.7,0.7,0.7,200,0,clean
T1,L3b,200,0.935,0.935,0.935,0.935,200,0,clean
T1,L3b,400,0.945,0.945,0.945,0.945,200,0,clean
T2,L0,10,0.65,0.32727272727272727,0.18,0.63,55,45,
T2,L0,25,0.93,0.7241379310344828,0.21,0.92,29,71,
T2,L0,50,0.94,0.7692307692307693,0.2,0.94,26,74,
T2,L0,100,0.9,0.6666666666666666,0.2,0.9,30,70,
T2,L0,200,0.94,0.7407407407407407,0.2,0.93,27,73,
T2,L0,400,0.96,0.8333333333333334,0.2,0.96,24,76,
T2,L1,10,0.12,0.08080808080808081,0.08,0.09,99,1,
T2,L1,25,0.22,0.11578947368421053,0.11,0.16,95,5,
T2,L1,50,0.19,0.0851063829787234,0.08,0.14,94,6,
T2,L1,100,0.3,0.15384615384615385,0.14,0.23,91,9,
T2,L1,200,0.25,0.12371134020618557,0.12,0.15,97,3,
T2,L1,400,0.23,0.10227272727272728,0.09,0.21,88,12,
T2,L2,10,0.17,0.09183673469387756,0.09,0.11,98,2,
T2,L2,25,0.11,0.06060606060606061,0.06,0.07,99,1,
T2,L2,50,0.35,0.1836734693877551,0.18,0.2,98,2,
T2,L2,100,0.32,0.16304347826086957,0.15,0.23,92,8,
T2,L2,200,0.29,0.15384615384615385,0.14,0.23,91,9,
T2,L2,400,0.41,0.20689655172413793,0.18,0.31,87,13,
T2,L3b,10,0.045,0.045,0.045,0.045,200,0,clean
T2,L3b,25,0.09,0.09,0.09,0.09,200,0,clean
T2,L3b,50,0.065,0.065,0.065,0.065,200,0,clean
T2,L3b,100,0.11,0.11,0.11,0.11,200,0,clean
T2,L3b,200,0.17,0.17,0.17,0.17,200,0,clean
T2,L3b,400,0.14,0.14,0.14,0.14,200,0,clean
T3,L0,10,0.99,0.9523809523809523,0.2,0.99,21,79,
T3,L0,25,0.99,0.9523809523809523,0.2,0.99,21,79,
T3,L0,50,1.0,1.0,0.2,1.0,20,80,
T3,L0,100,1.0,1.0,0.2,1.0,20,80,
T3,L0,200,1.0,1.0,0.2,1.0,20,80,
T3,L0,400,1.0,1.0,0.2,1.0,20,80,
T3,L1,10,0.58,0.2857142857142857,0.2,0.5,70,30,
T3,L1,25,0.81,0.4791666666666667,0.23,0.75,48,52,
T3,L1,50,0.95,0.7692307692307693,0.2,0.94,26,74,
T3,L1,100,0.97,0.8695652173913043,0.2,0.97,23,77,
T3,L1,200,0.98,0.9090909090909091,0.2,0.98,22,78,
T3,L1,400,0.96,0.8076923076923077,0.21,0.95,26,74,
T3,L2,10,0.41,0.189873417721519,0.15,0.36,79,21,
T3,L2,25,0.63,0.3387096774193548,0.21,0.59,62,38,
T3,L2,50,0.88,0.5945945945945946,0.22,0.85,37,63,
T3,L2,100,0.94,0.7407407407407407,0.2,0.93,27,73,
T3,L2,200,0.98,0.9090909090909091,0.2,0.98,22,78,
T3,L2,400,0.95,0.8,0.2,0.95,25,75,
T3,L3b,10,0.305,0.305,0.305,0.305,200,0,clean
T3,L3b,25,0.51,0.51,0.51,0.51,200,0,clean
T3,L3b,50,0.605,0.605,0.605,0.605,200,0,clean
T3,L3b,100,0.78,0.78,0.78,0.78,200,0,clean
T3,L3b,200,0.92,0.92,0.92,0.92,200,0,clean
T3,L3b,400,0.84,0.84,0.84,0.84,200,0,clean
