dim,q,lo,hi,n_per_level,sr_L1,sr_L2,delta
|obj_yaw|,1,0.001,0.166,100,0.26,0.42,0.16
|obj_yaw|,2,0.166,0.365,100,0.18,0.34,0.16
|obj_yaw|,3,0.365,0.582,100,0.29,0.27,-0.02
|obj_yaw|,4,0.582,0.781,100,0.24,0.34,0.1
obj_x,1,0.164,0.183,100,0.3,0.42,0.12
obj_x,2,0.183,0.201,100,0.23,0.42,0.19
obj_x,3,0.201,0.226,100,0.26,0.32,0.06
obj_x,4,0.226,0.259,100,0.18,0.21,0.03
obj_y,1,0.364,0.414,100,0.22,0.24,0.02
obj_y,2,0.414,0.454,100,0.3,0.45,0.15
obj_y,3,0.454,0.5,100,0.17,0.37,0.2
obj_y,4,0.5,0.533,100,0.28,0.31,0.03
