level,n_demos,opened,lifted,over,sr,episodes
L0,10,0.97,0.84,0.78,0.71,100
L0,25,0.96,0.98,0.96,0.94,100
L0,50,0.92,0.93,0.92,0.91,100
L0,100,0.94,0.96,0.92,0.9,100
L0,200,0.98,1.0,0.98,0.97,100
L0,400,0.96,0.97,0.95,0.95,100
L1,10,0.81,0.14,0.12,0.11,100
L1,25,0.94,0.25,0.24,0.23,100
L1,50,0.94,0.37,0.32,0.32,100
L1,100,0.87,0.31,0.31,0.31,100
L1,200,0.76,0.23,0.18,0.18,100
L1,400,0.85,0.16,0.15,0.15,100
L2,10,0.65,0.14,0.13,0.13,100
L2,25,0.85,0.2,0.17,0.16,100
L2,50,0.9,0.44,0.37,0.37,100
L2,100,0.87,0.44,0.43,0.43,100
L2,200,0.86,0.28,0.27,0.27,100
L2,400,0.86,0.43,0.37,0.37,100
L3,10,0.715,0.065,0.055,0.04,200
L3,25,0.945,0.095,0.095,0.095,200
L3,50,0.76,0.095,0.075,0.07,200
L3,100,0.71,0.135,0.12,0.115,200
L3,200,0.775,0.18,0.15,0.145,200
L3,400,0.725,0.13,0.13,0.125,200
