level,n,frames,epochs_at_80k_b64,mean_len,max_len,min_len
L1,10,6937,738.0712123396281,693.7,724,663
L1,25,17396,294.3205334559669,695.84,724,663
L1,50,34570,148.10529360717385,691.4,724,663
L1,100,69434,73.73909035919002,694.34,724,663
L1,200,138491,36.96991140218498,692.455,724,663
L1,400,277661,18.43975207177097,694.1525,724,663
L2,10,6822,750.513046027558,682.2,724,632
L2,25,16981,301.5134562157706,679.24,724,623
L2,50,34013,150.53067944609415,680.26,743,623
L2,100,67617,75.7206028069864,676.17,743,618
L2,200,135260,37.85302380600325,676.3,743,618
L2,400,270744,18.910853056762107,676.86,743,618
