task,n_demos,L1_b0,L2_b0,L3,L1_warm,L2_warm
T1,10,0.15,0.2,0.09,0.5375,0.3125
T1,25,0.4,0.3,0.235,0.75,0.675
T1,50,0.55,0.45,0.465,0.9125,0.8125
T1,100,0.5,0.5,0.7,0.95,0.9
T1,200,0.95,0.9,0.935,0.9875,1.0
T1,400,0.95,1.0,0.945,1.0,1.0
T2,10,0.1,0.1,0.04,0.1125,0.1375
T2,25,0.05,0.05,0.095,0.275,0.1875
T2,50,0.2,0.2,0.07,0.35,0.4125
T2,100,0.2,0.3,0.115,0.3375,0.4625
T2,200,0.05,0.2,0.145,0.2125,0.2875
T2,400,0.0,0.25,0.125,0.1875,0.4
T3,10,0.45,0.15,0.305,0.5875,0.4375
T3,25,0.65,0.35,0.51,0.875,0.7875
T3,50,0.9,0.75,0.605,0.9625,0.925
T3,100,0.8,0.8,0.78,1.0,0.9625
T3,200,0.9,0.85,0.92,1.0,0.9875
T3,400,0.95,0.85,0.84,1.0,0.975
