arm,episodes,got nowhere,held over drawer,lifted object,n,opened drawer,p_got_nowhere,p_held_over_drawer,p_lifted_object,p_opened_drawer,p_succeeded,succeeded
L0,200,7,18,16,10,37,0.035,0.09,0.08,0.185,0.61,122
L0,200,16,15,6,25,2,0.08,0.075,0.03,0.01,0.805,161
L0,200,13,11,6,50,1,0.065,0.055,0.03,0.005,0.845,169
L0,200,6,6,19,100,3,0.03,0.03,0.095,0.015,0.83,166
L0,200,2,5,17,200,1,0.01,0.025,0.085,0.005,0.875,175
L0,200,20,4,9,400,3,0.1,0.02,0.045,0.015,0.82,164
L1,200,40,0,4,10,141,0.2,0.0,0.02,0.705,0.075,15
L1,200,18,0,8,25,142,0.09,0.0,0.04,0.71,0.16,32
L1,200,10,0,4,50,137,0.05,0.0,0.02,0.685,0.245,49
L1,200,19,0,4,100,130,0.095,0.0,0.02,0.65,0.235,47
L1,200,38,0,5,200,124,0.19,0.0,0.025,0.62,0.165,33
L1,200,25,0,5,400,141,0.125,0.0,0.025,0.705,0.145,29
L2,200,65,0,0,10,124,0.325,0.0,0.0,0.62,0.055,11
L2,200,22,0,1,25,158,0.11,0.0,0.005,0.79,0.095,19
L2,200,23,0,11,50,133,0.115,0.0,0.055,0.665,0.165,33
L2,200,28,0,5,100,135,0.14,0.0,0.025,0.675,0.16,32
L2,200,22,0,4,200,126,0.11,0.0,0.02,0.63,0.24,48
L2,200,18,0,5,400,125,0.09,0.0,0.025,0.625,0.26,52
L3b,200,42,5,2,10,144,0.21,0.025,0.01,0.72,0.035,7
L3b,200,7,0,1,25,166,0.035,0.0,0.005,0.83,0.13,26
L3b,200,34,0,8,50,142,0.17,0.0,0.04,0.71,0.08,16
L3b,200,34,0,4,100,130,0.17,0.0,0.02,0.65,0.16,32
L3b,200,29,0,5,200,134,0.145,0.0,0.025,0.67,0.16,32
L3b,200,44,1,3,400,124,0.22,0.005,0.015,0.62,0.14,28
AC,200,21,0,2,10,169,0.105,0.0,0.01,0.845,0.04,8
AC,200,16,1,3,25,160,0.08,0.005,0.015,0.8,0.1,20
AC,200,16,0,4,50,136,0.08,0.0,0.02,0.68,0.22,44
AC,200,19,1,0,100,138,0.095,0.005,0.0,0.69,0.21,42
AC,200,11,0,8,200,139,0.055,0.0,0.04,0.695,0.21,42
AC,200,32,0,7,400,134,0.16,0.0,0.035,0.67,0.135,27
BC,200,116,2,18,10,45,0.58,0.01,0.09,0.225,0.095,19
BC,200,10,3,6,25,49,0.05,0.015,0.03,0.245,0.66,132
BC,200,21,5,11,50,13,0.105,0.025,0.055,0.065,0.75,150
BC,200,7,5,10,100,8,0.035,0.025,0.05,0.04,0.85,170
BC,200,8,0,7,200,2,0.04,0.0,0.035,0.01,0.915,183
BC,200,18,1,15,400,2,0.09,0.005,0.075,0.01,0.82,164
