axis,ci_hi,ci_lo,delta,episodes,k_off,k_on,n,off_arm,on_arm,significant,sr_off,sr_on,task
A,-0.3851567711460992,-0.5528532728470662,-0.475,200,166,71,10,L0,L1,True,0.83,0.355,T1
A,-0.29883608516180216,-0.4550534308726696,-0.38,200,185,109,25,L0,L1,True,0.925,0.545,T1
A,-0.27221819043176554,-0.40874905786039006,-0.33999999999999997,200,198,130,50,L0,L1,True,0.99,0.65,T1
A,-0.08781075475049059,-0.1900529517082455,-0.135,200,199,172,100,L0,L1,True,0.995,0.86,T1
A,-0.01281387153358,-0.07693206820093301,-0.040000000000000036,200,200,192,200,L0,L1,True,1.0,0.96,T1
A,0.018466489787432837,-0.04114351620277909,-0.010000000000000009,200,198,196,400,L0,L1,False,0.99,0.98,T1
B,-0.07798151868723091,-0.2488151456317211,-0.16499999999999998,200,71,38,10,L1,L2,True,0.355,0.19,T1
B,-0.037101562808594946,-0.22930794208242064,-0.13500000000000006,200,109,82,25,L1,L2,True,0.545,0.41,T1
B,0.06392796470807638,-0.12319065583082604,-0.030000000000000027,200,130,124,50,L1,L2,False,0.65,0.62,T1
B,-0.055715310278598884,-0.21260471278838,-0.135,200,172,145,100,L1,L2,True,0.86,0.725,T1
B,0.029053166454841767,-0.06024951407009022,-0.015000000000000013,200,192,189,200,L1,L2,False,0.96,0.945,T1
B,0.024337877938129686,-0.04602159180306606,-0.010000000000000009,200,196,194,400,L1,L2,False,0.98,0.97,T1
C,0.04483771031961274,-0.10460744073034156,-0.03,200,38,32,10,L2,L3b,False,0.19,0.16,T1
C,0.024736439714985875,-0.16299479606057676,-0.06999999999999995,200,82,68,25,L2,L3b,False,0.41,0.34,T1
C,0.07501650866932968,-0.11451031590144371,-0.020000000000000018,200,124,120,50,L2,L3b,False,0.62,0.6,T1
C,0.11530578346024022,-0.05586976409056879,0.030000000000000027,200,145,151,100,L2,L3b,False,0.725,0.755,T1
C,0.05163822454674856,-0.04129399122126469,0.0050000000000000044,200,189,190,200,L2,L3b,False,0.945,0.95,T1
C,0.04177780159298934,-0.031017049009858348,0.0050000000000000044,200,194,195,400,L2,L3b,False,0.97,0.975,T1
A,-0.4525466112671522,-0.6061098890066443,-0.535,200,122,15,10,L0,L1,True,0.61,0.075,T2
A,-0.5618248413170653,-0.711033147234472,-0.645,200,161,32,25,L0,L1,True,0.805,0.16,T2
A,-0.5145261715439147,-0.6697427065165329,-0.6,200,169,49,50,L0,L1,True,0.845,0.245,T2
A,-0.508954975922286,-0.6653185919714396,-0.595,200,166,47,100,L0,L1,True,0.83,0.235,T2
A,-0.6316741780674053,-0.7694937428747888,-0.71,200,175,33,200,L0,L1,True,0.875,0.165,T2
A,-0.5939239564468103,-0.7381427856677436,-0.6749999999999999,200,164,29,400,L0,L1,True,0.82,0.145,T2
B,0.030060310639325537,-0.07104537820624757,-0.019999999999999997,200,15,11,10,L1,L2,False,0.075,0.055,T2
B,0.0007791780472692078,-0.13115442919513465,-0.065,200,32,19,25,L1,L2,False,0.16,0.095,T2
B,-0.0007081834258404057,-0.1582896209354585,-0.07999999999999999,200,49,33,50,L1,L2,True,0.245,0.165,T2
B,0.003226348201676235,-0.1523697585655975,-0.07499999999999998,200,47,32,100,L1,L2,False,0.235,0.16,T2
B,0.15303703426720416,-0.003951141733003274,0.07499999999999998,200,33,48,200,L1,L2,False,0.165,0.24,T2
B,0.19236882220429927,0.03626436262671706,0.11500000000000002,200,29,52,400,L1,L2,True,0.145,0.26,T2
C,0.02283536033308109,-0.0645598792801168,-0.019999999999999997,200,11,7,10,L2,L3b,False,0.055,0.035,T2
C,0.09817532716266628,-0.02776650673667279,0.035,200,19,26,25,L2,L3b,False,0.095,0.13,T2
C,-0.02063491455319695,-0.1500693010189055,-0.085,200,33,16,50,L2,L3b,True,0.165,0.08,T2
C,0.07231765615307587,-0.07231765615307587,0.0,200,32,32,100,L2,L3b,False,0.16,0.16,T2
C,-0.001425711030698218,-0.15763202389151182,-0.07999999999999999,200,48,32,200,L2,L3b,True,0.24,0.16,T2
C,-0.04167753420742937,-0.19694908123491356,-0.12,200,52,28,400,L2,L3b,True,0.26,0.14,T2
A,-0.42587131930549,-0.5756009375749542,-0.5049999999999999,200,191,90,10,L0,L1,True,0.955,0.45,T3
A,-0.22626758153434662,-0.3640115705913095,-0.29499999999999993,200,195,136,25,L0,L1,True,0.975,0.68,T3
A,-0.08131948766703953,-0.18537589873038524,-0.13,200,198,172,50,L0,L1,True,0.99,0.86,T3
A,-0.04710329709214278,-0.1399354109862784,-0.08999999999999997,200,198,180,100,L0,L1,True,0.99,0.9,T3
A,-0.02496487328736642,-0.10321561620020914,-0.05999999999999994,200,199,187,200,L0,L1,True,0.995,0.935,T3
