arm,episodes,lift_and_open,lift_given_open,lifted,max_lift_median,max_open_median,n,opened,over,over_and_lift,over_given_lift,p_lifted,p_opened,p_over,p_success,success,success_and_over,success_given_over
L0,200,156,0.8082901554404145,156,0.4484,0.38880000000000003,10,193,140,140,0.8974358974358975,0.78,0.965,0.7,0.61,122,122,0.8714285714285714
L0,200,181,0.9890710382513661,182,0.4565,0.38075000000000003,25,183,176,176,0.967032967032967,0.91,0.915,0.88,0.805,161,161,0.9147727272727273
L0,200,183,0.9945652173913043,186,0.4566,0.3694,50,184,180,180,0.967741935483871,0.93,0.92,0.9,0.845,169,169,0.9388888888888889
L0,200,189,0.984375,191,0.45675,0.361,100,192,172,172,0.900523560209424,0.955,0.96,0.86,0.83,166,166,0.9651162790697675
L0,200,184,0.9945945945945946,197,0.4589,0.3454,200,185,180,180,0.9137055837563451,0.985,0.925,0.9,0.875,175,175,0.9722222222222222
L0,200,170,0.9826589595375722,177,0.4573,0.34095,400,173,168,168,0.9491525423728814,0.885,0.865,0.84,0.82,164,164,0.9761904761904762
L1,200,18,0.11320754716981132,19,0.0,0.33985,10,159,15,15,0.7894736842105263,0.095,0.795,0.075,0.075,15,15,1.0
L1,200,40,0.21978021978021978,40,0.0006,0.358,25,182,32,32,0.8,0.2,0.91,0.16,0.16,32,32,1.0
L1,200,53,0.2789473684210526,53,0.0017,0.3395,50,190,49,49,0.9245283018867925,0.265,0.95,0.245,0.245,49,49,1.0
L1,200,51,0.281767955801105,51,0.001,0.33795,100,181,47,47,0.9215686274509803,0.255,0.905,0.235,0.235,47,47,1.0
L1,200,35,0.22012578616352202,38,0.0,0.3106,200,159,33,33,0.868421052631579,0.19,0.795,0.165,0.165,33,33,1.0
L1,200,34,0.19428571428571428,34,0.0,0.32330000000000003,400,175,29,29,0.8529411764705882,0.17,0.875,0.145,0.145,29,29,1.0
L2,200,11,0.08148148148148149,11,0.0,0.3177,10,135,11,11,1.0,0.055,0.675,0.055,0.055,11,11,1.0
L2,200,20,0.11235955056179775,20,0.0,0.3396,25,178,19,19,0.95,0.1,0.89,0.095,0.095,19,19,1.0
L2,200,43,0.24431818181818182,44,0.0001,0.3321,50,176,33,33,0.75,0.22,0.88,0.165,0.165,33,33,1.0
L2,200,34,0.20118343195266272,37,0.0,0.32184999999999997,100,169,32,32,0.8648648648648649,0.185,0.845,0.16,0.16,32,32,1.0
L2,200,50,0.2840909090909091,52,0.0001,0.3242,200,176,48,48,0.9230769230769231,0.26,0.88,0.24,0.24,48,48,1.0
L2,200,54,0.3016759776536313,57,0.0008,0.31905,400,179,52,52,0.9122807017543859,0.285,0.895,0.26,0.26,52,52,1.0
L3b,200,14,0.08860759493670886,14,0.0,0.32355,10,158,12,12,0.8571428571428571,0.07,0.79,0.06,0.035,7,7,0.5833333333333334
L3b,200,27,0.13989637305699482,27,0.0,0.3488,25,193,26,26,0.9629629629629629,0.135,0.965,0.13,0.13,26,26,1.0
L3b,200,19,0.11801242236024845,24,0.0,0.3289,50,161,16,16,0.6666666666666666,0.12,0.805,0.08,0.08,16,16,1.0
L3b,200,35,0.21212121212121213,36,0.0002,0.31315000000000004,100,165,32,32,0.8888888888888888,0.18,0.825,0.16,0.16,32,32,1.0
L3b,200,32,0.1927710843373494,37,0.0,0.3156,200,166,32,32,0.8648648648648649,0.185,0.83,0.16,0.16,32,32,1.0
L3b,200,31,0.2,32,0.0,0.3121,400,155,29,29,0.90625,0.16,0.775,0.145,0.14,28,28,0.9655172413793104
AC,200,10,0.055865921787709494,10,0.0,0.28985,10,179,8,8,0.8,0.05,0.895,0.04,0.04,8,8,1.0
AC,200,23,0.12568306010928962,24,0.0,0.30425,25,183,21,21,0.875,0.12,0.915,0.105,0.1,20,20,0.9523809523809523
AC,200,46,0.25274725274725274,48,0.0,0.32315,50,182,44,44,0.9166666666666666,0.24,0.91,0.22,0.22,44,44,1.0
AC,200,43,0.23756906077348067,43,0.0,0.32615,100,181,43,43,1.0,0.215,0.905,0.215,0.21,42,42,0.9767441860465116
AC,200,49,0.26063829787234044,50,0.0,0.3216,200,188,42,42,0.84,0.25,0.94,0.21,0.21,42,42,1.0
AC,200,32,0.1927710843373494,34,0.0,0.31745,400,166,27,27,0.7941176470588235,0.17,0.83,0.135,0.135,27,27,1.0
BC,200,22,0.3283582089552239,39,0.0,0.0,10,67,21,21,0.5384615384615384,0.195,0.335,0.105,0.095,19,19,0.9047619047619048
BC,200,140,0.7407407407407407,141,0.4563,0.35255000000000003,25,189,135,135,0.9574468085106383,0.705,0.945,0.675,0.66,132,132,0.9777777777777777
BC,200,163,0.9261363636363636,166,0.4541,0.36760000000000004,50,176,155,155,0.9337349397590361,0.83,0.88,0.775,0.75,150,150,0.967741935483871
BC,200,183,0.9581151832460733,185,0.4517,0.3638,100,191,175,175,0.9459459459459459,0.925,0.955,0.875,0.85,170,170,0.9714285714285714
BC,200,186,0.9893617021276596,190,0.4539,0.35945,200,188,183,183,0.9631578947368421,0.95,0.94,0.915,0.915,183,183,1.0
BC,200,171,0.9884393063583815,180,0.45525,0.3449,400,173,165,165,0.9166666666666666,0.9,0.865,0.825,0.82,164,164,0.9939393939393939
