arm,episodes,k,n,slice_chi2,slice_df,slice_max,slice_min,slice_overdispersed,sr,task,wilson_hi,wilson_lo
AC,200,13,10,8.309337721102429,9,0.15,0.0,False,0.065,T1,0.10801907929906895,0.03837635464915299
AC,200,41,25,5.184844301273201,9,0.3,0.1,False,0.205,T1,0.26625698052422514,0.15486176203836208
AC,200,128,50,4.253472222222222,9,0.8,0.55,False,0.64,T1,0.7033080269543346,0.5714152816600309
AC,200,170,100,12.549019607843135,9,0.95,0.65,False,0.85,T1,0.89286406437758,0.7939442071583334
AC,200,191,200,5.700988947062242,9,1.0,0.9,False,0.955,T1,0.976147456998507,0.9167032959981803
AC,200,193,400,9.030347890451509,9,1.0,0.9,False,0.965,T1,0.9829444579914328,0.9295293884777092
BC,200,72,10,15.972222222222223,9,0.55,0.15,False,0.36,T1,0.42858471833996925,0.2966919730456654
BC,200,153,25,13.934084272006675,9,0.95,0.55,False,0.765,T1,0.8184256658476741,0.7015863111723746
BC,200,178,50,11.031664964249236,9,1.0,0.75,False,0.89,T1,0.926227555398747,0.839073090026985
BC,200,185,100,14.774774774774782,9,1.0,0.75,False,0.925,T1,0.954025082815618,0.8799563897637055
BC,200,198,200,8.080808080808074,9,1.0,0.95,False,0.99,T1,0.9972533418664555,0.9642782382838231
BC,200,198,400,18.181818181818166,9,1.0,0.9,True,0.99,T1,0.9972533418664555,0.9642782382838231
L0,200,166,10,4.394046775336641,9,0.9,0.75,False,0.83,T1,0.8757209208741302,0.7718411637168737
L0,200,185,25,1.8018018018018032,9,0.95,0.9,False,0.925,T1,0.954025082815618,0.8799563897637055
L0,200,198,50,18.181818181818162,9,1.0,0.9,True,0.99,T1,0.9972533418664555,0.9642782382838231
L0,200,199,100,9.045226130653266,9,1.0,0.95,False,0.995,T1,0.9991168312843989,0.9722262956021069
L0,200,200,200,0.0,9,1.0,1.0,False,1.0,T1,1.0,0.9811546736227335
L0,200,198,400,8.080808080808074,9,1.0,0.95,False,0.99,T1,0.9972533418664555,0.9642782382838231
L1,200,71,10,15.04531062343051,9,0.6,0.15,False,0.355,T1,0.42347886924509565,0.2919862754043116
L1,200,109,25,10.263131364048798,9,0.8,0.35,False,0.545,T1,0.6125178069011651,0.47578611372488105
L1,200,130,50,15.824175824175825,9,0.9,0.5,False,0.65,T1,0.7127117587264192,0.5816346433604008
L1,200,172,100,8.970099667774086,9,1.0,0.75,False,0.86,T1,0.9013301736654437,0.8051011913429243
L1,200,192,200,20.312499999999982,9,1.0,0.8,True,0.96,T1,0.9795943679338476,0.923067931799067
L1,200,196,400,6.122448979591831,9,1.0,0.95,False,0.98,T1,0.9921955735836505,0.9497129130941735
L2,200,38,10,10.266406757634828,9,0.3,0.05,False,0.19,T1,0.25001238707599854,0.14167171527790676
L2,200,82,25,9.425382389417113,9,0.65,0.25,False,0.41,T1,0.4792354096630791,0.34415674908482885
L2,200,124,50,5.602716468590831,9,0.8,0.5,False,0.62,T1,0.6844099415132637,0.5510671801561923
L2,200,145,100,5.642633228840124,9,0.8,0.55,False,0.725,T1,0.7822029967069265,0.6593166064233035
L2,200,189,200,6.637806637806634,9,1.0,0.9,False,0.945,T1,0.9690146582965411,0.9042130012276914
L2,200,194,400,7.560137457044666,9,1.0,0.9,False,0.97,T1,0.9861796856598887,0.9361057075454807
L3b,200,32,10,15.476190476190476,9,0.35,0.0,False,0.16,T1,0.21714070162067106,0.1156741203158702
L3b,200,68,25,5.704099821746881,9,0.5,0.2,False,0.34,T1,0.4081150447316374,0.27791545970908793
L3b,200,120,50,6.249999999999998,9,0.7,0.45,False,0.6,T1,0.6653942143319266,0.53083672039262
L3b,200,151,100,7.811866468441681,9,0.9,0.6,False,0.755,T1,0.8094313191096282,0.6909575644379659
L3b,200,190,200,10.526315789473676,9,1.0,0.85,False,0.95,T1,0.972617354399236,0.9104218518612239
L3b,200,195,400,17.43589743589742,9,1.0,0.85,True,0.975,T1,0.9892752803482386,0.942821659593358
AC,200,8,10,7.291666666666666,9,0.1,0.0,False,0.04,T2,0.07693206820093293,0.020405632066152306
AC,200,20,25,8.88888888888889,9,0.2,0.0,False,0.1,T2,0.1494058124327174,0.06567044866909588
AC,200,44,50,21.095571095571092,9,0.5,0.05,True,0.22,T2,0.28238799918293667,0.16816538358833258
AC,200,42,100,7.715491259795056,9,0.35,0.05,False,0.21,T2,0.2716461685990246,0.15928412069979
AC,200,42,200,8.921036769138034,9,0.3,0.05,False,0.21,T2,0.2716461685990246,0.15928412069979
AC,200,27,400,5.180903446799402,9,0.2,0.0,False,0.135,T2,0.18929138370752552,0.09446570454787906
BC,200,19,10,9.828438499563827,9,0.2,0.0,False,0.095,T2,0.1436016116481994,0.06166310271738653
BC,200,132,25,8.377896613190732,9,0.85,0.55,False,0.66,T2,0.7220845402909121,0.5918849552683626
BC,200,150,50,13.86666666666667,9,0.9,0.55,False,0.75,T2,0.8049183199318249,0.6856590168795417
BC,200,170,100,8.627450980392156,9,0.95,0.7,False,0.85,T2,0.89286406437758,0.7939442071583334
BC,200,183,200,6.493089038894248,9,1.0,0.85,False,0.915,T2,0.9462542498225244,0.8681041292843443
BC,200,164,400,15.718157181571817,9,1.0,0.7,False,0.82,T2,0.8670537414057983,0.7608852497127511
L0,200,122,10,7.061790668348045,9,0.75,0.45,False,0.61,T2,0.6749165686253038,0.5409374595716976
L0,200,161,25,13.664596273291925,9,0.95,0.65,False,0.805,T2,0.8539447946559949,0.7445595562538726
L0,200,169,50,11.796144302347775,9,0.95,0.7,False,0.845,T2,0.8886036307231068,0.7883930940765792
L0,200,166,100,9.355067328136073,9,0.95,0.65,False,0.83,T2,0.8757209208741302,0.7718411637168737
L0,200,175,200,7.542857142857141,9,1.0,0.75,False,0.875,T2,0.9138802552428735,0.8219857499741765
L0,200,164,400,8.265582655826556,9,1.0,0.75,False,0.82,T2,0.8670537414057983,0.7608852497127511
L1,200,15,10,11.891891891891891,9,0.2,0.0,False,0.075,T2,0.12004361023629456,0.04597491718438201
L1,200,32,25,4.315476190476191,9,0.25,0.05,False,0.16,T2,0.21714070162067106,0.1156741203158702
L1,200,49,50,2.946344100554129,9,0.3,0.15,False,0.245,T2,0.30904243556203415,0.1905686808903718
L1,200,47,100,5.034070365734947,9,0.35,0.1,False,0.235,T2,0.29841368882762537,0.18157433415232588
L1,200,33,200,5.842859735075304,9,0.25,0.05,False,0.165,T2,0.2226578153905955,0.11996855328217307
L1,200,29,400,6.009276063722525,9,0.25,0.05,False,0.145,T2,0.20048667530781522,0.10289350642004402
L2,200,11,10,4.713804713804714,9,0.1,0.0,False,0.055,T2,0.0957869987723084,0.03098534170345884
L2,200,19,25,9.828438499563827,9,0.2,0.0,False,0.095,T2,0.1436016116481994,0.06166310271738653
L2,200,33,50,14.55271275630557,9,0.35,0.0,False,0.165,T2,0.2226578153905955,0.11996855328217307
L2,200,32,100,15.476190476190476,9,0.3,0.05,False,0.16,T2,0.21714070162067106,0.1156741203158702
L2,200,48,200,7.017543859649123,9,0.35,0.1,False,0.24,T2,0.30373340979204166,0.1860661599241369
L2,200,52,400,8.212058212058212,9,0.4,0.1,False,0.26,T2,0.32490745602534116,0.20413830063574687
L3b,200,7,10,3.108808290155441,9,0.05,0.0,False,0.035,T2,0.07047061152229073,0.017055542008567192
L3b,200,26,25,7.250221043324492,9,0.2,0.05,False,0.13,T2,0.18366351872248407,0.0902820227966932
L3b,200,16,50,9.782608695652172,9,0.2,0.0,False,0.08,T2,0.12598948826714396,0.049840585889759974
L3b,200,32,100,18.452380952380953,9,0.4,0.0,True,0.16,T2,0.21714070162067106,0.1156741203158702
L3b,200,32,200,9.523809523809524,9,0.3,0.05,False,0.16,T2,0.21714070162067106,0.1156741203158702
L3b,200,28,400,8.139534883720929,9,0.25,0.0,False,0.14,T2,0.1948988086570756,0.09866982633455634
AC,200,65,10,28.83190883190883,9,0.65,0.05,True,0.325,T3,0.3926801488397004,0.2639157153923429
AC,200,118,25,11.905746176105827,9,0.75,0.35,False,0.59,T3,0.6558432509151711,0.5207645903369208
AC,200,146,50,13.292744799594114,9,0.9,0.5,False,0.73,T3,0.7867655018531416,0.6645656480133157
AC,200,178,100,13.074565883554646,9,1.0,0.75,False,0.89,T3,0.926227555398747,0.839073090026985
AC,200,165,200,9.177489177489175,9,0.95,0.65,False,0.825,T3,0.8713948493372666,0.7663556885175099
AC,200,170,400,9.411764705882353,9,0.95,0.75,False,0.85,T3,0.89286406437758,0.7939442071583334
BC,200,125,10,6.506666666666667,9,0.8,0.5,False,0.625,T3,0.6891456314159018,0.5561430369897816
BC,200,141,25,12.23704772208198,9,0.85,0.45,False,0.705,T3,0.7638605614315084,0.6384128547538122
BC,200,172,50,23.920265780730894,9,1.0,0.7,True,0.86,T3,0.9013301736654437,0.8051011913429243
BC,200,185,100,11.891891891891898,9,1.0,0.8,False,0.925,T3,0.954025082815618,0.8799563897637055
BC,200,180,200,11.111111111111112,9,1.0,0.8,False,0.9,T3,0.9343295513309041,0.8505941875672826
BC,200,190,400,16.842105263157883,9,1.0,0.8,False,0.95,T3,0.972617354399236,0.9104218518612239
L0,200,191,10,8.027923211169279,9,1.0,0.9,False,0.955,T3,0.976147456998507,0.9167032959981803
L0,200,195,25,5.128205128205124,9,1.0,0.95,False,0.975,T3,0.9892752803482386,0.942821659593358
L0,200,198,50,8.080808080808074,9,1.0,0.95,False,0.99,T3,0.9972533418664555,0.9642782382838231
L0,200,198,100,8.080808080808074,9,1.0,0.95,False,0.99,T3,0.9972533418664555,0.9642782382838231
L0,200,199,200,9.045226130653264,9,1.0,0.95,False,0.995,T3,0.9991168312843989,0.9722262956021069
L0,200,199,400,9.045226130653262,9,1.0,0.95,False,0.995,T3,0.9991168312843989,0.9722262956021069
L1,200,90,10,2.0202020202020203,9,0.55,0.4,False,0.45,T3,0.5192438486152432,0.3826406840224836
L1,200,136,25,6.066176470588235,9,0.8,0.55,False,0.68,T3,0.7407346668453195,0.6124810156588646
L1,200,172,50,5.647840531561463,9,0.95,0.8,False,0.86,T3,0.9013301736654437,0.8051011913429243
L1,200,180,100,5.555555555555556,9,0.95,0.8,False,0.9,T3,0.9343295513309041,0.8505941875672826
L1,200,187,200,8.309337721102434,9,1.0,0.85,False,0.935,T3,0.961623645350847,0.8919809207009312
L1,200,185,400,10.450450450450456,9,1.0,0.85,False,0.925,T3,0.954025082815618,0.8799563897637055
L2,200,56,10,4.067460317460317,9,0.4,0.2,False,0.28,T3,0.3459230458665071,0.22236889773949026
L2,200,99,25,10.18101810181018,9,0.65,0.3,False,0.495,T3,0.5637299996647251,0.4264584535990475
L2,200,149,50,10.238189235425713,9,0.9,0.6,False,0.745,T3,0.8003950482796865,0.6803707417954529
L2,200,179,100,5.799414737962226,9,1.0,0.8,False,0.895,T3,0.9302925120731899,0.8448196800887696
L2,200,188,200,8.510638297872335,9,1.0,0.85,False,0.94,T3,0.9653478057456681,0.8980683070423372
L2,200,188,400,10.283687943262406,9,1.0,0.8,False,0.94,T3,0.9653478057456681,0.8980683070423372
L3b,200,63,10,20.878229637353723,9,0.6,0.05,True,0.315,T3,0.3823495608573036,0.2546232099022851
L3b,200,98,25,16.326530612244895,9,0.7,0.3,False,0.49,T3,0.5588141232154135,0.42156278331213176
L3b,200,115,50,25.47314578005115,9,0.85,0.35,True,0.575,T3,0.6414638745648614,0.5057093264785485
L3b,200,163,100,13.961200464267948,9,0.95,0.65,False,0.815,T3,0.8626980719938395,0.7554293723884824
L3b,200,188,200,4.9645390070921955,9,1.0,0.9,False,0.94,T3,0.9653478057456681,0.8980683070423372
L3b,200,179,400,6.863527533918597,9,1.0,0.85,False,0.895,T3,0.9302925120731899,0.8448196800887696
