arm,attempts,demos,failures,gen_sr,legs,mean_ep_len,task
AC,449,400,49,0.89086859688196,10,188.2,T1
BC,473,404,69,0.854122621564482,10,207.5,T1
L0,463,400,63,0.8639308855291576,1,207.0,T1
L1,466,400,66,0.8583690987124464,1,188.0,T1
L2,470,400,70,0.851063829787234,1,187.0,T1
L3b,463,401,62,0.8660907127429806,10,188.7,T1
AC,938,400,538,0.42643923240938164,10,694.5,T2
BC,1402,400,1002,0.28530670470756064,10,679.8,T2
L0,728,400,328,0.5494505494505495,1,705.0,T2
L1,906,400,506,0.44150110375275936,1,694.0,T2
L2,1306,400,906,0.30627871362940273,1,677.0,T2
L3b,1347,400,947,0.2969561989606533,10,674.1,T2
AC,451,400,51,0.8869179600886918,10,316.6,T3
BC,449,400,49,0.89086859688196,10,310.2,T3
L0,406,400,6,0.9852216748768473,1,317.0,T3
L1,422,400,22,0.9478672985781991,1,319.0,T3
L2,421,400,21,0.9501187648456056,1,311.0,T3
L3b,434,400,34,0.9216589861751152,10,309.9,T3
