axis,ci_hi,ci_lo,delta,episodes,k_full,k_reduced,mcnemar_b,mcnemar_c,mcnemar_chi2_cc,mcnemar_diff,mcnemar_hi,mcnemar_lo,mcnemar_n,mcnemar_significant,n,paired,removed_arm,significant,sr_full,sr_reduced,task
A,0.2816617854295684,0.11471831346324514,0.19999999999999998,200,32,72,,,,,,,,,10,False,BC,True,0.16,0.36,T1
A,0.506907215276807,0.3319357466611381,0.425,200,68,153,,,,,,,,,25,False,BC,True,0.34,0.765,T1
A,0.3680768532679047,0.20711481780505325,0.29000000000000004,200,120,178,,,,,,,,,50,False,BC,True,0.6,0.89,T1
A,0.2403127938939336,0.09934806921864493,0.17000000000000004,200,151,185,,,,,,,,,100,False,BC,True,0.755,0.925,T1
A,0.08023730580352739,0.005748667970363185,0.040000000000000036,200,190,198,,,,,,,,,200,False,BC,True,0.95,0.99,T1
A,0.04798570235052466,-0.014417556914274713,0.015000000000000013,200,195,198,,,,,,,,,400,False,BC,False,0.975,0.99,T1
B,-0.033230875078956036,-0.1580387045668789,-0.095,200,32,13,,,,,,,,,10,False,AC,True,0.16,0.065,T1
B,-0.04778241114271055,-0.21957837917985185,-0.13500000000000004,200,68,41,,,,,,,,,25,False,AC,True,0.34,0.205,T1
B,0.13376281524623385,-0.054764269943174515,0.040000000000000036,200,120,128,,,,,,,,,50,False,AC,False,0.6,0.64,T1
B,0.1720633607344153,0.01686536996233988,0.09499999999999997,200,151,170,,,,,,,,,100,False,AC,True,0.755,0.85,T1
B,0.04987365315637458,-0.03947676086928576,0.0050000000000000044,200,190,191,,,,,,,,,200,False,AC,False,0.95,0.955,T1
B,0.02684357696983327,-0.048235427430409074,-0.010000000000000009,200,195,193,,,,,,,,,400,False,AC,False,0.975,0.965,T1
C,0.10460744073034156,-0.04483771031961274,0.03,200,32,38,27,21,0.5208333333333334,0.03,0.09776772107825249,-0.03776772107825249,200,False,10,True,L2,False,0.16,0.19,T1
C,0.16299479606057676,-0.024736439714985875,0.06999999999999995,200,68,82,46,32,2.1666666666666665,0.07,0.15600423803073044,-0.016004238030730422,200,False,25,True,L2,False,0.34,0.41,T1
C,0.11451031590144371,-0.07501650866932968,0.020000000000000018,200,120,124,42,38,0.1125,0.02,0.1076084169686159,-0.06760841696861589,200,False,50,True,L2,False,0.6,0.62,T1
C,0.05586976409056879,-0.11530578346024022,-0.030000000000000027,200,151,145,31,37,0.36764705882352944,-0.03,0.05070435818768952,-0.11070435818768952,200,False,100,True,L2,False,0.755,0.725,T1
C,0.04129399122126469,-0.05163822454674856,-0.0050000000000000044,200,190,189,9,10,0.0,-0.005,0.03771080375592483,-0.047710803755924826,200,False,200,True,L2,False,0.95,0.945,T1
C,0.031017049009858348,-0.04177780159298934,-0.0050000000000000044,200,195,194,3,4,0.0,-0.005,0.020918624795094456,-0.030918624795094458,200,False,400,True,L2,False,0.975,0.97,T1
A,0.11180849570686924,0.01132235623824028,0.06,200,7,19,,,,,,,,,10,False,BC,True,0.035,0.095,T2
A,0.6037021563881022,0.44328533826121813,0.53,200,26,132,,,,,,,,,25,False,BC,True,0.13,0.66,T2
A,0.7326547055184782,0.5909127371823953,0.67,200,16,150,,,,,,,,,50,False,BC,True,0.08,0.75,T2
A,0.7516612651892359,0.6099543149644504,0.69,200,32,170,,,,,,,,,100,False,BC,True,0.16,0.85,T2
A,0.8092366273079431,0.6810792148859196,0.755,200,32,183,,,,,,,,,200,False,BC,True,0.16,0.915,T2
A,0.7426277720783636,0.5993251408833582,0.6799999999999999,200,28,164,,,,,,,,,400,False,BC,True,0.14,0.82,T2
B,0.046060701823089405,-0.035522876705538345,0.0049999999999999975,200,7,8,,,,,,,,,10,False,AC,False,0.035,0.04,T2
B,0.03339126134775401,-0.09370471988997031,-0.03,200,26,20,,,,,,,,,25,False,AC,False,0.13,0.1,T2
B,0.20929540173433625,0.0707045420707932,0.14,200,16,44,,,,,,,,,50,False,AC,True,0.08,0.22,T2
B,0.1259278190962398,-0.026401310164787292,0.04999999999999999,200,32,42,,,,,,,,,100,False,AC,False,0.16,0.21,T2
B,0.1259278190962398,-0.026401310164787292,0.04999999999999999,200,32,42,,,,,,,,,200,False,AC,False,0.16,0.21,T2
B,0.06323296564046955,-0.07324154379676673,-0.0050000000000000044,200,28,27,,,,,,,,,400,False,AC,False,0.14,0.135,T2
C,0.0645598792801168,-0.02283536033308109,0.019999999999999997,200,7,11,11,7,0.5,0.02,0.06148461825388982,-0.02148461825388982,200,False,10,True,L2,False,0.035,0.055,T2
C,0.02776650673667279,-0.09817532716266628,-0.035,200,26,19,14,21,1.0285714285714285,-0.035,0.02277324236037482,-0.09277324236037482,200,False,25,True,L2,False,0.13,0.095,T2
C,0.1500693010189055,0.02063491455319695,0.085,200,16,33,30,13,5.953488372093023,0.085,0.1481727435873147,0.02182725641268532,200,True,50,True,L2,True,0.08,0.165,T2
C,0.07231765615307587,-0.07231765615307587,0.0,200,32,32,29,29,0.017241379310344827,0.0,0.07463320500961004,-0.07463320500961004,200,False,100,True,L2,False,0.16,0.16,T2
C,0.15763202389151182,0.001425711030698218,0.07999999999999999,200,32,48,33,17,4.5,0.08,0.1484024622627391,0.01159753773726091,200,True,200,True,L2,True,0.16,0.24,T2
C,0.19694908123491356,0.04167753420742937,0.12,200,28,52,38,14,10.173076923076923,0.12,0.18868268655063214,0.05131731344936785,200,True,400,True,L2,True,0.14,0.26,T2
A,0.39809096895963997,0.21368154536817868,0.31,200,63,125,,,,,,,,,10,False,BC,True,0.315,0.625,T3
A,0.30526748207419213,0.11924389593376815,0.21499999999999997,200,98,141,,,,,,,,,25,False,BC,True,0.49,0.705,T3
A,0.3656807330920593,0.1987948620200638,0.28500000000000003,200,115,172,,,,,,,,,50,False,BC,True,0.575,0.86,T3
A,0.17626548955892196,0.044394871427237415,0.1100000000000001,200,163,185,,,,,,,,,100,False,BC,True,0.815,0.925,T3
A,0.014192111684975806,-0.09552878135036803,-0.039999999999999925,200,188,180,,,,,,,,,200,False,BC,False,0.94,0.9,T3
A,0.11004188610879956,0.00197178846565578,0.05499999999999994,200,179,190,,,,,,,,,400,False,BC,True,0.895,0.95,T3
B,0.10069707453643435,-0.08092443661470165,0.010000000000000009,200,63,65,,,,,,,,,10,False,AC,False,0.315,0.325,T3
B,0.19496834377338806,0.0023837846199694646,0.09999999999999998,200,98,118,,,,,,,,,25,False,AC,True,0.49,0.59,T3
B,0.2445741013781071,0.061731028513814304,0.15500000000000003,200,115,146,,,,,,,,,50,False,AC,True,0.575,0.73,T3
B,0.14472155652450244,0.005224243240728191,0.07500000000000007,200,163,178,,,,,,,,,100,False,AC,True,0.815,0.89,T3
B,-0.05246401900247043,-0.17888792159223404,-0.11499999999999999,200,188,165,,,,,,,,,200,False,AC,True,0.94,0.825,T3
B,0.020995397728620052,-0.1112405715520639,-0.04500000000000004,200,179,170,,,,,,,,,400,False,AC,False,0.895,0.85,T3
C,0.05439353868608804,-0.12364145359499115,-0.034999999999999976,200,63,56,39,46,0.4235294117647059,-0.035,0.05521957137283609,-0.1252195713728361,200,False,10,True,L2,False,0.315,0.28,T3
C,0.10199208979032955,-0.09212531666326772,0.0050000000000000044,200,98,99,50,49,0.0,0.005,0.1025045147614477,-0.09250451476144769,200,False,25,True,L2,False,0.49,0.495,T3
C,0.258711942888008,0.07729407981016717,0.17000000000000004,200,115,149,62,28,12.1,0.17,0.25993437355634097,0.08006562644365905,200,True,50,True,L2,True,0.575,0.745,T3
C,0.1492403139974564,0.010767272346650106,0.08000000000000007,200,163,179,31,15,4.891304347826087,0.08,0.1455343494782395,0.014465650521760492,200,True,100,True,L2,True,0.815,0.895,T3
C,0.04899773597234706,-0.04899773597234706,0.0,200,188,188,12,12,0.041666666666666664,0.0,0.04800911676355309,-0.04800911676355309,200,False,200,True,L2,False,0.94,0.94,T3
C,0.10121899823470307,-0.009807191888765492,0.04499999999999993,200,179,188,16,7,2.782608695652174,0.045,0.09158265826828256,-0.0015826582682825635,200,False,400,True,L2,False,0.895,0.94,T3
