arm,max,median,min,n_success,p25,p75,task
L0,512,208.0,191,1146,207.0,215.0,T1
L1,488,197.0,136,870,176.0,207.0,T1
L2,383,192.5,123,772,180.5,207.0,T1
L3b,496,199.0,144,756,183.0,208.0,T1
AC,550,199.0,137,736,183.0,207.0,T1
BC,509,214.0,184,984,207.0,216.0,T1
L0,1181,716.0,613,957,691.0,741.0,T2
L1,882,696.0,576,205,664.0,731.0,T2
L2,1041,700.0,591,195,664.5,742.5,T2
L3b,995,700.0,591,141,663.0,741.0,T2
AC,1057,720.0,613,183,690.0,765.0,T2
BC,1186,708.0,595,818,679.0,742.0,T2
L0,341,283.0,231,1180,270.0,299.25,T3
L1,661,270.0,224,950,255.0,298.0,T3
L2,617,265.0,206,859,243.0,283.0,T3
L3b,789,276.0,214,806,255.0,299.0,T3
AC,679,281.0,195,842,261.0,312.0,T3
BC,638,276.0,141,993,252.0,302.0,T3
