dataset,task,level,variant,successes,failures,attempts,gen_sr_pct,mean_ep_len,min_ep_len,max_ep_len,finished_at,wall_min,size_gb
ACv00,cup_place,AC,v00,40,7,47,85.1,191,150,219,2026-09-18 06:41:00,,0.31
ACv01,cup_place,AC,v01,40,6,46,87.0,190,150,219,2026-09-18 06:40:46,,0.32
ACv02,cup_place,AC,v02,40,8,48,83.3,189,150,219,2026-09-18 06:40:54,,0.31
ACv03,cup_place,AC,v03,40,2,42,95.2,191,150,219,2026-09-18 06:40:35,,0.31
ACv04,cup_place,AC,v04,40,8,48,83.3,186,150,219,2026-09-18 06:40:51,,0.31
ACv05,cup_place,AC,v05,40,1,41,97.6,185,150,219,2026-09-18 06:41:03,,0.30
ACv06,cup_place,AC,v06,40,7,47,85.1,184,150,219,2026-09-18 06:41:29,,0.30
ACv07,cup_place,AC,v07,40,3,43,93.0,187,150,219,2026-09-18 06:41:16,,0.31
ACv08,cup_place,AC,v08,40,5,45,88.9,189,159,219,2026-09-18 06:41:31,,0.31
ACv09,cup_place,AC,v09,40,2,42,95.2,190,150,219,2026-09-18 06:41:25,,0.31
BCv00,cup_place,BC,v00,41,3,44,93.2,208,206,210,2026-09-18 06:41:56,,0.36
BCv01,cup_place,BC,v01,40,7,47,85.1,207,206,210,2026-09-18 06:41:59,,0.35
BCv02,cup_place,BC,v02,41,7,48,85.4,207,206,210,2026-09-18 06:41:59,,0.36
BCv03,cup_place,BC,v03,40,12,52,76.9,207,206,210,2026-09-18 06:42:44,,0.35
BCv04,cup_place,BC,v04,41,10,51,80.4,207,206,210,2026-09-18 06:42:44,,0.36
BCv05,cup_place,BC,v05,40,8,48,83.3,208,206,210,2026-09-18 06:41:59,,0.35
BCv06,cup_place,BC,v06,40,6,46,87.0,208,206,210,2026-09-18 06:41:57,,0.35
BCv07,cup_place,BC,v07,40,8,48,83.3,208,206,210,2026-09-18 06:42:01,,0.35
BCv08,cup_place,BC,v08,40,1,41,97.6,208,206,210,2026-09-18 06:41:53,,0.35
BCv09,cup_place,BC,v09,41,7,48,85.4,207,206,210,2026-09-18 06:42:00,,0.36
ctl_L1,cup_place,ctl_L1,-,100,25,125,80.0,191,150,219,2026-09-18 03:32:54,,0.78
gate_g1,cup_place,gate_g1,-,5,0,5,100.0,177,164,192,2026-09-18 00:07:02,,0.04
gate_g3_T2,cup_place,gate_g3_T2,-,8,6,14,57.1,652,618,679,2026-09-18 00:15:41,,0.14
gate_g4_0,cup_place,gate_g4_0,-,5,2,7,71.4,191,159,207,2026-09-18 00:11:13,,0.04
gate_g4_1,cup_place,gate_g4_1,-,5,3,8,62.5,185,164,207,2026-09-18 00:13:08,,0.04
gate_g4_2,cup_place,gate_g4_2,-,5,1,6,83.3,195,175,202,2026-09-18 00:15:38,,0.04
gate_g4_3,cup_place,gate_g4_3,-,6,0,6,100.0,190,159,202,2026-09-18 00:18:05,,0.05
parity_L3bv00,cup_place,parity_L3bv00,-,40,6,46,87.0,186,150,219,2026-09-18 00:14:06,,0.30
T2_ACv00,drawer_stow,AC,v00,40,46,86,46.5,699,663,724,2026-09-18 07:37:01,,0.74
T2_ACv01,drawer_stow,AC,v01,40,56,96,41.7,691,663,724,2026-09-18 07:41:28,,0.73
T2_ACv02,drawer_stow,AC,v02,40,56,96,41.7,692,663,724,2026-09-18 07:42:01,,0.74
T2_ACv03,drawer_stow,AC,v03,40,49,89,44.9,688,663,724,2026-09-18 07:39:42,,0.73
T2_ACv04,drawer_stow,AC,v04,40,45,85,47.1,694,663,724,2026-09-18 07:38:24,,0.74
T2_ACv05,drawer_stow,AC,v05,40,65,105,38.1,690,663,724,2026-09-18 07:50:06,,0.74
T2_ACv06,drawer_stow,AC,v06,40,66,106,37.7,698,663,724,2026-09-18 07:46:31,,0.74
T2_ACv07,drawer_stow,AC,v07,40,33,73,54.8,698,663,724,2026-09-18 07:34:12,,0.74
T2_ACv08,drawer_stow,AC,v08,40,74,114,35.1,699,663,724,2026-09-18 07:51:26,,0.74
T2_ACv09,drawer_stow,AC,v09,40,48,88,45.5,696,663,724,2026-09-18 07:37:45,,0.74
T2_BCv00,drawer_stow,BC,v00,40,106,146,27.4,674,641,724,2026-09-18 08:00:33,,0.71
T2_BCv01,drawer_stow,BC,v01,40,111,151,26.5,683,623,724,2026-09-18 08:06:03,,0.73
T2_BCv02,drawer_stow,BC,v02,40,107,147,27.2,684,623,724,2026-09-18 08:13:33,,0.72
T2_BCv03,drawer_stow,BC,v03,40,83,123,32.5,679,641,724,2026-09-18 07:52:51,,0.72
T2_BCv04,drawer_stow,BC,v04,40,122,162,24.7,686,623,724,2026-09-18 08:06:36,,0.74
T2_BCv05,drawer_stow,BC,v05,40,95,135,29.6,677,623,724,2026-09-18 07:58:28,,0.72
T2_BCv06,drawer_stow,BC,v06,40,103,143,28.0,685,641,724,2026-09-18 08:00:11,,0.73
T2_BCv07,drawer_stow,BC,v07,40,105,145,27.6,672,641,724,2026-09-18 08:00:59,,0.72
T2_BCv08,drawer_stow,BC,v08,40,91,131,30.5,676,641,724,2026-09-18 07:58:09,,0.72
T2_BCv09,drawer_stow,BC,v09,40,79,119,33.6,682,641,724,2026-09-18 07:51:38,,0.73
T3_ACv00,push_target,AC,v00,40,11,51,78.4,311,282,399,2026-09-18 06:45:48,,0.52
T3_ACv01,push_target,AC,v01,40,3,43,93.0,310,282,372,2026-09-18 06:44:26,,0.52
T3_ACv02,push_target,AC,v02,40,2,42,95.2,314,282,372,2026-09-18 06:44:20,,0.53
T3_ACv03,push_target,AC,v03,40,1,41,97.6,320,282,399,2026-09-18 06:45:11,,0.54
